Plot,Block,String Inverter,SACU,Total Active Strings,Working String Count,Failed String Count,Availability (%),Failure Percentage (%),MBUS,Grid,E-Daily(KWH),Active Power, Reactive Power,PV1,PV2,PV3,PV4,PV5,PV6,PV7,PV8,PV9,PV10,PV11,PV12,PV13,PV14,PV15,PV16,PV17,PV18,PV19,PV20,PV21,PV22,PV23,PV24,PV25,PV26,PV27,PV28,PV-I1,PV-I2,PV-I3,PV-I4,PV-I5,PV-I6,PV-I7,PV-I8,PV-I9,PV-I10,PV-I11,PV-I12,PV-I13,PV-I14,PV-I15,PV-I16,PV-I17,PV-I18,PV-I19,PV-I20,PV-I21,PV-I22,PV-I23,PV-I24,PV-I25,PV-I26,PV-I27,PV-I28,VAB,VBC,VCA,IA,IB,IC
P1,IB1,P1-IB1-1.1-SI01,SACU-1,19,19,0,100.0,0.0,MBUS-1,On-grid,318.06,124.626,-0.066,1133.8,1133.8,1133.8,1133.8,1097.3,1097.3,1097.3,1097.3,1097.3,1096.4,1096.4,1096.4,1096.4,1096.4,1107.3,1107.3,1107.3,1107.3,1107.9,1107.9,1107.9,1107.9,1107.9,1122.9,1122.9,1122.9,1122.9,1122.9,6.1,5.77,5.98,5.83,5.98,5.9,6.19,0.0,0.0,6.02,6.01,5.91,0.0,0.0,6.29,5.87,6.02,0.0,5.96,6.12,5.9,0.0,0.0,5.86,5.77,6.05,0.0,0.0,795.9,784.5,791.3,91.316,90.931,91.234
P1,IB1,P1-IB1-1.1-SI02,SACU-1,19,5,14,26.32,73.68,MBUS-2,On-grid,86.67,40.205,-0.01,1120.3,1120.3,1120.3,1120.3,340.4,340.4,340.4,340.4,340.4,1107.3,1107.3,1107.3,1107.3,1107.3,338.9,338.9,338.9,338.9,337.2,337.2,337.2,337.2,337.2,1122.2,1122.2,1122.2,1122.2,1122.2,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83,7.94,7.71,0.0,0.0,795.0,785.6,788.6,29.979,29.357,29.316
P1,IB1,P1-IB1-1.1-SI03,SACU-1,19,19,0,100.0,0.0,MBUS-3,On-grid,316.61,125.085,0.029,1107.4,1107.4,1107.4,1107.4,1103.0,1103.0,1103.0,1103.0,1103.0,1100.4,1100.4,1100.4,1100.4,1100.4,1087.4,1087.4,1087.4,1087.4,1103.1,1103.1,1103.1,1103.1,1103.1,1138.5,1138.5,1138.5,1138.5,1138.5,6.28,6.09,5.95,5.94,5.84,6.25,6.03,0.0,0.0,6.25,5.97,6.25,0.0,0.0,6.35,6.14,5.93,0.0,6.31,5.94,6.24,0.0,0.0,6.08,5.76,5.56,0.0,0.0,794.5,788.8,785.7,92.067,91.254,91.496
P1,IB1,P1-IB1-1.1-SI04,SACU-1,19,19,0,100.0,0.0,MBUS-4,On-grid,319.89,155.651,-0.056,1110.8,1110.8,1110.8,1110.8,1121.6,1121.6,1121.6,1121.6,1121.6,1129.2,1129.2,1129.2,1129.2,1129.2,1104.3,1104.3,1104.3,1104.3,1106.7,1106.7,1106.7,1106.7,1106.7,1118.5,1118.5,1118.5,1118.5,1118.5,7.72,7.3,6.27,8.2,8.73,6.86,6.52,0.0,0.0,7.51,7.59,0.0,0.0,0.0,7.12,7.25,7.84,7.6,7.48,7.59,7.53,0.0,0.0,7.59,7.35,7.21,0.0,0.0,799.5,794.6,790.1,113.648,113.404,113.379
P1,IB1,P1-IB1-1.1-SI05,SACU-1,19,19,0,100.0,0.0,MBUS-5,On-grid,320.1,131.474,-0.05,1134.3,1134.3,1134.3,1134.3,1114.1,1114.1,1114.1,1114.1,1114.1,1111.5,1111.5,1111.5,1111.5,1111.5,1133.7,1133.7,1133.7,1133.7,1106.8,1106.8,1106.8,1106.8,1106.8,1097.1,1097.1,1097.1,1097.1,1097.1,6.47,6.26,6.05,5.94,6.45,6.46,6.2,0.0,0.0,6.08,6.54,6.45,0.0,0.0,6.21,5.95,6.52,0.0,6.57,6.33,6.13,0.0,0.0,6.91,6.72,6.12,0.0,0.0,794.4,788.3,786.4,96.646,96.286,96.389
P1,IB1,P1-IB1-1.1-SI06,SACU-1,19,19,0,100.0,0.0,MBUS-6,On-grid,321.71,153.316,0.08,1115.5,1115.5,1115.5,1115.5,1113.7,1113.7,1113.7,1113.7,1113.7,1103.3,1103.3,1103.3,1103.3,1103.3,1136.8,1136.8,1136.8,1136.8,1112.7,1112.7,1112.7,1112.7,1112.7,1112.9,1112.9,1112.9,1112.9,1112.9,7.13,6.89,7.49,7.4,7.09,7.1,7.65,0.0,0.0,7.73,7.42,7.17,0.0,0.0,7.69,7.18,7.33,0.0,7.45,7.65,7.4,0.0,0.0,7.7,7.21,7.69,0.0,0.0,797.1,790.8,787.4,112.517,111.873,112.045
P1,IB1,P1-IB1-1.1-SI07,SACU-1,19,19,0,100.0,0.0,MBUS-7,On-grid,318.48,130.815,0.073,1113.8,1113.8,1113.8,1113.8,1098.9,1098.9,1098.9,1098.9,1098.9,1121.9,1121.9,1121.9,1121.9,1121.9,1063.8,1063.8,1063.8,1063.8,1123.2,1123.2,1123.2,1123.2,1123.2,1104.7,1104.7,1104.7,1104.7,1104.7,6.14,6.52,6.32,6.38,6.06,6.22,6.51,0.0,0.0,6.16,5.87,6.48,0.0,0.0,6.62,6.37,6.24,0.0,6.5,6.51,6.14,0.0,0.0,5.91,6.66,6.77,0.0,0.0,794.0,783.7,790.7,96.007,95.863,96.176
P1,IB1,P1-IB1-1.1-SI08,SACU-1,19,19,0,100.0,0.0,MBUS-8,On-grid,318.77,156.101,0.046,1111.5,1111.5,1111.5,1111.5,1099.8,1099.8,1099.8,1099.8,1099.8,1109.3,1109.3,1109.3,1109.3,1109.3,1116.3,1116.3,1116.3,1116.3,1099.4,1099.4,1099.4,1099.4,1099.4,1092.8,1092.8,1092.8,1092.8,1092.8,7.52,7.54,7.39,7.56,7.59,7.54,7.58,0.0,0.0,7.71,7.38,7.69,0.0,0.0,7.74,7.56,7.36,0.0,7.72,7.5,7.55,0.0,0.0,7.43,7.63,7.51,0.0,0.0,798.6,786.9,794.3,113.85,113.651,113.9
P1,IB1,P1-IB1-1.2-SI09,SACU-1,19,19,0,100.0,0.0,MBUS-9,On-grid,320.34,130.965,-0.028,1122.9,1122.9,1122.9,1122.9,1103.7,1103.7,1103.7,1103.7,1103.7,1109.3,1109.3,1109.3,1109.3,1109.3,1076.0,1076.0,1076.0,1076.0,1102.2,1102.2,1102.2,1102.2,1102.2,1112.0,1112.0,1112.0,1112.0,1112.0,6.6,6.06,6.17,6.1,6.42,6.35,6.46,0.0,0.0,6.48,6.34,6.29,0.0,0.0,6.86,6.43,6.28,0.0,6.36,6.47,6.28,0.0,0.0,6.41,6.14,6.65,0.0,0.0,797.3,786.8,792.2,95.97,95.746,95.603
P1,IB1,P1-IB1-1.2-SI10,SACU-1,19,19,0,100.0,0.0,MBUS-10,On-grid,317.39,154.21,0.046,1096.7,1096.7,1096.7,1096.7,1089.2,1089.2,1089.2,1089.2,1089.2,1093.1,1093.1,1093.1,1093.1,1093.1,1108.8,1108.8,1108.8,1108.8,1111.3,1111.3,1111.3,1111.3,1111.3,1102.9,1102.9,1102.9,1102.9,1102.9,7.9,7.54,7.27,7.21,7.88,7.59,7.43,0.0,0.0,7.49,7.7,7.6,0.0,0.0,7.61,7.07,7.43,0.0,7.44,7.57,7.35,0.0,0.0,7.53,7.36,7.68,0.0,0.0,799.7,787.9,794.7,112.671,112.08,112.357
